monthname,total_male,total_female,year,month
Januar,49505,46331,1950,1
Februar,47177,44298,1950,2
März,53604,49499,1950,3
April,49606,46030,1950,4
Mai,50932,47046,1950,5
Juni,47795,44566,1950,6
Juli,47377,44324,1950,7
August,46297,43163,1950,8
September,47342,44363,1950,9
Oktober,47370,43885,1950,10
November,45319,42065,1950,11
Dezember,45867,42940,1950,12
Januar,48747,45169,1951,1
Februar,46034,43054,1951,2
März,51546,47987,1951,3
April,48568,45721,1951,4
Mai,51257,47832,1951,5
Juni,48082,44531,1951,6
Juli,48104,45423,1951,7
August,46619,44191,1951,8
September,46892,43785,1951,9
Oktober,46144,43279,1951,10
November,43521,40671,1951,11
Dezember,46185,43038,1951,12
Januar,49430,45802,1952,1
Februar,48218,45256,1952,2
März,52374,48948,1952,3
April,49339,46092,1952,4
Mai,49970,46624,1952,5
Juni,46570,43251,1952,6
Juli,47445,44735,1952,7
August,45717,43107,1952,8
September,47560,44540,1952,9
Oktober,45077,41963,1952,10
November,44318,41497,1952,11
Dezember,45134,42117,1952,12
Januar,48762,45878,1953,1
Februar,45993,42934,1953,2
März,51863,48831,1953,3
April,48983,45909,1953,4
Mai,50261,47167,1953,5
Juni,47266,43922,1953,6
Juli,47554,44688,1953,7
August,45574,42981,1953,8
September,47423,44422,1953,9
Oktober,44129,41869,1953,10
November,41667,38722,1953,11
Dezember,45454,42777,1953,12
Januar,49374,45922,1954,1
Februar,46442,44240,1954,2
März,51116,47245,1954,3
April,49118,46291,1954,4
Mai,51948,48596,1954,5
Juni,47975,44911,1954,6
Juli,48350,45317,1954,7
August,46817,44027,1954,8
September,47434,44213,1954,9
Oktober,44235,41978,1954,10
November,44121,41345,1954,11
Dezember,45629,43099,1954,12
Januar,48920,45879,1955,1
Februar,46908,43699,1955,2
März,52337,49558,1955,3
April,49525,45827,1955,4
Mai,50317,47388,1955,5
Juni,48065,45074,1955,6
Juli,48073,44571,1955,7
August,46829,44107,1955,8
September,47581,44341,1955,9
Oktober,46060,43208,1955,10
November,44361,41474,1955,11
Dezember,46103,43203,1955,12
Januar,49009,45921,1956,1
Februar,49507,46494,1956,2
März,53872,50950,1956,3
April,49671,47230,1956,4
Mai,51840,48505,1956,5
Juni,47419,44123,1956,6
Juli,49070,46252,1956,7
August,47689,44789,1956,8
September,48296,45516,1956,9
Oktober,46313,43722,1956,10
November,46094,42977,1956,11
Dezember,47347,44563,1956,12
Januar,50451,46879,1957,1
Februar,48828,45789,1957,2
März,53725,50749,1957,3
April,52096,48769,1957,4
Mai,52779,49268,1957,5
Juni,50134,47296,1957,6
Juli,49613,46569,1957,7
August,48667,45332,1957,8
September,50597,47261,1957,9
Oktober,49181,45938,1957,10
November,46610,43629,1957,11
Dezember,49360,46035,1957,12
Januar,52132,49176,1958,1
Februar,49458,45897,1958,2
März,56123,52955,1958,3
April,51114,47717,1958,4
Mai,53326,49590,1958,5
Juni,47464,44251,1958,6
Juli,46900,44122,1958,7
August,47978,45335,1958,8
September,52771,49462,1958,9
Oktober,49695,46680,1958,10
November,48541,45480,1958,11
Dezember,51593,48110,1958,12
Januar,54487,50764,1959,1
Februar,52466,49275,1959,2
März,57974,54838,1959,3
April,56064,52468,1959,4
Mai,56215,52969,1959,5
Juni,52798,49779,1959,6
Juli,53562,50444,1959,7
August,51909,48658,1959,8
September,53143,50343,1959,9
Oktober,51763,48133,1959,10
November,49188,46316,1959,11
Dezember,51808,48558,1959,12
Januar,54289,50853,1960,1
Februar,54491,51615,1960,2
März,58142,55292,1960,3
April,55235,52112,1960,4
Mai,56559,53486,1960,5
Juni,53514,51243,1960,6
Juli,55055,51966,1960,7
August,54661,51213,1960,8
September,55039,51791,1960,9
Oktober,50500,47831,1960,10
November,49407,46301,1960,11
Dezember,52036,48983,1960,12
Januar,57282,54337,1961,1
Februar,54611,51605,1961,2
März,61385,58262,1961,3
April,57799,54585,1961,4
Mai,59034,55442,1961,5
Juni,55192,51662,1961,6
Juli,55718,52364,1961,7
August,55341,52477,1961,8
September,55993,52443,1961,9
Oktober,54632,52169,1961,10
November,53178,50374,1961,11
Dezember,55252,52368,1961,12
Januar,57507,54258,1962,1
Februar,54228,51409,1962,2
März,61044,57246,1962,3
April,57159,54587,1962,4
Mai,59400,56020,1962,5
Juni,55868,52584,1962,6
Juli,56392,53156,1962,7
August,56563,53155,1962,8
September,56523,53207,1962,9
Oktober,54500,51619,1962,10
November,52876,50160,1962,11
Dezember,55223,51850,1962,12
Januar,59825,57038,1963,1
Februar,55824,52369,1963,2
März,63946,60682,1963,3
April,60164,56953,1963,4
Mai,61515,58635,1963,5
Juni,57072,53410,1963,6
Juli,59068,55814,1963,7
August,56941,53624,1963,8
September,58532,54842,1963,9
Oktober,55583,52838,1963,10
November,53425,50482,1963,11
Dezember,55091,51922,1963,12
Januar,60261,57323,1964,1
